VARIABILE

SIMBOL | TIP | VALOARE | STATUS
ploaie | BOOL | 1 | global
a | INT | 8 | global
vector | INT | 0 | global
b | CONST INT | 3 | global
ruj | FLOAT | 0.000000 | global
rata | FLOAT | 6.600000 | global
s | STRING | lalala | global
z | INT | 5 | global
copie_float | FLOAT | 5.600000 | global
copie | STRING | lalalalla | global
floare | CONST STRING | trandafir | global
inima | STRING | dasda | global
ab | INT | 10 | nr2
fr | INT | 5 | nr3
aaaaa | INT | 0 | nr2
interesant.mamaliga | INT | 7 | popcorn
interesant.soare | INT | 100 | popcorn
interesant.mergem | FLOAT | 88.900002 | popcorn
telefon.mamaliga | INT | 100 | popcorn
telefon.soare | INT | 100 | popcorn
telefon.mergem | FLOAT | 88.900002 | popcorn
